YB,l,b,Dist,e_Dist,HDist,f_HDist,Mass,e_Mass,Lum,e_Lum,Diam,e_Diam,Ratio,e_Ratio,Tgray,e_Tgray,Lratio,e_Lratio,TBol,e_TBol,SDen,e_SDen
1570,37.8743,-0.3998,9.69,0.31,9.354,G,4611.57,510.79,550245.34,35206.62,0.77,0.02,119.32,15.26,29.05,1.57,443.28,88.66,65.29,13.06,2.066,0.229
1571,37.901,0.3188,2.16,0.19,11.489,B,26.55,26.78,267.68,71.3,0.18,0.02,10.08,10.52,18.38,0.72,84.93,16.99,47.92,9.58,0.211,0.213
1572,37.9497,-0.4891,9.87,0.28,9.216,B,344.58,341.48,2261.67,470.18,0.76,0.02,6.56,6.65,16.48,0.42,70.73,14.15,46.15,9.23,0.16,0.159
1573,37.972,-0.0962,4.87,0.51,0,N,77.79,17.69,1844.23,386.27,0.23,0.02,23.71,7.33,21.71,0.48,143.47,28.69,48.36,9.67,0.383,0.087
1574,38.0718,0.3124,2.36,0.32,10.519,B,5.9,6.07,30.85,10.4,0.18,0.02,5.23,5.67,16,1.15,60.84,12.17,43.99,8.8,0.047,0.048
1575,38.0917,0.2776,2.35,0.32,10.497,B,7.8,8.03,254.48,85.99,0.14,0.02,32.61,35.3,22.21,0.6,187.91,37.58,56.16,11.23,0.101,0.104
1576,38.0981,0.3551,12.22,0.28,12.19,B,528.21,525.87,4418.33,906.57,0.78,0.02,8.36,8.5,16.95,0.72,85.53,17.11,48.84,9.77,0.23,0.229
1577,38.0994,0.675,2.26,0.26,10.89,B,98,99.94,32.21,9.82,0.38,0.04,0.33,0.35,12.27,0.9,7.6,1.52,19,3.8,0.184,0.188
1578,38.1218,-0.2254,4.9,0.57,4.192,G,688.4,161.02,8100.76,1884.67,0.4,0.05,11.77,3.88,18.94,0.2,95.69,19.14,50.26,10.05,1.155,0.27
1579,38.1908,-0.1607,9.61,0.35,9.158,B,374.54,63.61,10622.36,773.74,0.51,0.02,28.36,5.24,21.65,0.96,172.38,34.48,53.64,10.73,0.379,0.064
1580,38.2214,0.2482,12.19,0.3,0,N,274.9,60.96,13810.52,679.76,1.85,0.05,50.24,11.41,27.09,2.23,199.01,39.8,46.61,9.32,0.021,0.005
1581,38.2638,0.6205,0.56,0.2,0.374,G,1.19,8.43,3.36,2.49,0.08,0.03,2.83,20.17,14.93,0.48,38.36,7.67,41.63,8.33,0.052,0.369
1582,38.2972,-0.2098,9.87,0.31,8.95,B,1756.08,602.02,1811.93,113.82,0.81,0.03,1.03,0.36,12.5,0.78,22.8,4.56,48.12,9.62,0.719,0.246
1586,38.3461,-0.0558,4.9,0.56,0,N,149.58,41.78,195.2,44.62,0.54,0.06,1.3,0.47,13.87,0.48,21.68,4.34,33.03,6.61,0.139,0.039
1587,38.3588,0.002,12.08,0.33,7.065,B,824.79,86.26,3347.6,182.9,0.87,0.02,4.06,0.48,15.3,0.24,52.49,10.5,45.08,9.02,0.288,0.03
1588,38.3772,0.1702,12.15,0.31,7.035,B,36.57,35.99,1807.37,373.05,1.32,0.03,49.42,49.7,26.41,3.02,255.99,51.2,49.13,9.83,0.006,0.006
1589,38.4648,-0.0641,4.83,0.53,0,N,150.94,35.04,2883.92,632.91,0.26,0.03,19.11,6.1,21.06,0.48,123.37,24.67,46.53,9.31,0.573,0.133
1590,38.5301,0.2303,4.81,0.55,0,N,65.71,17.89,463.42,105.98,0.42,0.05,7.05,2.51,16.06,0.42,80.45,16.09,46.96,9.39,0.101,0.028
1591,38.5396,-0.303,0.6,0.21,8.964,B,1.72,2.08,5.42,3.95,0.05,0.02,3.15,4.46,14.99,0.48,42.39,8.48,41.58,8.32,0.157,0.19
1592,38.5499,0.1628,1.9,0.07,2.01,G,29.76,3.19,710.62,52.36,0.07,0.003,23.88,3.11,25.14,0.54,112.37,22.47,44.8,8.96,1.415,0.152
1593,38.6214,-0.1881,4.17,0.46,4.613,G,55.65,54.82,744.03,221.56,0.34,0.04,13.37,13.76,20.03,1.03,94.03,18.81,44.17,8.83,0.131,0.129
1594,38.6464,-0.2261,4.28,0.46,8.574,B,215.87,50.28,4546.17,977.21,0.23,0.02,21.06,6.68,20.81,0.36,140.9,28.18,50.29,10.06,1.075,0.25
1595,38.6933,-0.4522,9.79,0.29,9.906,B,3277.85,272.12,47678.19,2824.65,0.66,0.02,14.55,1.48,19.98,0.3,108.09,21.62,49.04,9.81,2.026,0.168
1596,38.7227,-0.1308,3.41,0.11,7.732,B,76.8,76.04,1024.21,215.24,0.43,0.01,13.34,13.5,18.2,1.51,114.09,22.82,47.52,9.5,0.109,0.108
1597,38.7523,0.1761,12.12,0.3,12.153,B,1487.42,151.71,9832.24,486.74,1.12,0.03,6.61,0.75,15.59,0.42,81.73,16.35,49.71,9.94,0.315,0.032
1598,38.7546,-0.5266,3.41,0.11,8.756,B,298.09,294.89,952.87,200.24,0.53,0.02,3.2,3.23,15.05,0.19,42.7,8.54,42.05,8.41,0.278,0.275
1599,38.7782,0.1009,12.01,0.32,11.924,B,523.18,520.63,7065.44,1462.39,1.33,0.04,13.5,13.73,20.16,0.72,93.83,18.77,42.32,8.46,0.078,0.078
