YB,l,b,---,HIGALBM,[CUS2014],CORNISH,CType,RMS,RType,WISE,WType
1188,30.53365104,0.021202716,HIGALBM,30.5348+0.0211,G030.5337+0.0215,G030.5353+00.0204,UCHII          ,3123,HII region          ,G030.533+00.021,K
1189,30.60464453,0.453557887,       ,              ,                ,                 ,               ,0,                    ,               , 
1190,30.61141222,0.452299302,HIGALBM,30.6120+0.4527,                ,                 ,               ,0,                    ,               , 
1191,30.62473263,0.168861379,HIGALBM,30.6247+0.1686,G030.6240+0.1692,                 ,               ,0,                    ,               , 
1192,30.64117783,-0.115444154,HIGALBM,30.6414-0.1158,G030.6424-0.1177,                 ,               ,0,                    ,G030.641-00.116,Q
1194,30.65607142,0.227468557,HIGALBM,30.6596+0.2290,G030.6599+0.2295,                 ,               ,0,                    ,G030.657+00.229,Q
1195,30.69317741,0.227975923,HIGALBM,30.6928+0.2281,G030.6911+0.2279,                 ,               ,0,                    ,G030.696+00.230,Q
1196,30.69395936,-0.365621905,       ,              ,G030.6938-0.3643,                 ,               ,0,                    ,G030.694-00.365,C
1197,30.71001899,-0.559165083,HIGALBM,30.7102-0.5587,                ,                 ,               ,0,                    ,               , 
1198,30.74592577,-0.801156948,HIGALBM,30.7461-0.8011,                ,                 ,               ,0,                    ,               , 
1199,30.75642948,0.202127263,       ,              ,                ,                 ,               ,0,                    ,               , 
1200,30.75961919,-0.056233735,       ,              ,G030.7604-0.0533,                 ,               ,0,                    ,               , 
1201,30.7597833,0.205218458,HIGALBM,30.7578+0.2050,G030.7566+0.2056,G030.7579+00.2042,UCHII          ,0,                    ,G030.760+00.206,K
1202,30.76429261,-0.034349221,HIGALBM,30.7636-0.0298,G030.7626-0.0310,G030.7661-00.0348,UCHII          ,3153,HII region?         ,               , 
1203,30.76782475,-0.590787689,       ,              ,                ,                 ,               ,0,                    ,G030.768-00.592,Q
1204,30.77992592,0.229478155,HIGALBM,30.7799+0.2302,G030.7785+0.2310,                 ,               ,0,                    ,G030.778+00.230,C
1205,30.8389551,0.113303479,       ,              ,                ,                 ,               ,0,                    ,G030.838+00.114,K
1206,30.84737568,0.153623379,       ,              ,                ,                 ,               ,0,                    ,               , 
1207,30.85635314,-0.510215538,HIGALBM,30.8569-0.5104,                ,                 ,               ,0,                    ,               , 
1208,30.86651443,0.113880105,HIGALBM,30.8664+0.1143,G030.8654+0.1143,G030.8662+00.1143,UCHII          ,3129,HII region          ,G030.867+00.113,K
1209,30.87565129,-0.347544952,HIGALBM,30.8762-0.3468,                ,                 ,               ,0,                    ,               , 
1210,30.87703524,0.05841855,HIGALBM,30.8773+0.0584,G030.8757+0.0589,                 ,               ,4905,YSO                 ,               , 
1211,30.88205512,-0.235365791,HIGALBM,30.8874-0.2335,                ,                 ,               ,0,                    ,G030.882-00.236,Q
1212,30.88206077,0.073828416,       ,              ,                ,                 ,               ,3137,HII region          ,G030.881+00.074,K
1213,30.90718884,0.1595651,       ,              ,                ,                 ,               ,0,                    ,G030.906+00.161,K
1214,30.92285194,0.273848557,       ,              ,                ,                 ,               ,3122,Diffuse HII region??,G030.922+00.274,Q
1215,30.95810022,0.086612293,HIGALBM,30.9589+0.0865,G030.9582+0.0862,G030.9581+00.0869,UCHII          ,3146,HII region          ,G030.958+00.087,C
1216,30.95892631,0.600970713,HIGALBM,30.9598+0.6016,                ,                 ,               ,0,                    ,               , 
1217,30.97248474,0.561558276,HIGALBM,30.9731+0.5625,G030.9717+0.5626,                 ,               ,3094,YSO                 ,               , 
1218,30.99697592,-0.075862584,HIGALBM,30.9968-0.0759,G030.9961-0.0764,                 ,               ,3186,YSO                 ,G030.996-00.077,Q
1219,31.03331145,0.466844554,HIGALBM,31.0341+0.4667,                ,                 ,               ,0,                    ,               , 
