YB,l,b,F8,stdF8,F12,stdF12,F24,stdF24,F70,e_F70,Fit
1318,32.76926217,-0.182820422,0.11,0.03,0.01,0.22,0.13,0.01,10.37,0.51,0
1319,32.772946,-0.05924745,0.09,0.04,0.02,0.45,0.16,0.19,7.51,0.34,0
1320,32.77479152,0.184199381,0.31,0.77,0.15,0.45,0.93,0.3,0,0,0
1321,32.79228785,0.193346309,0.24,0.13,0,0,0,0,2562.16,89.51,0
1322,32.79413543,0.206211173,0.38,0.74,0,0,0,0,0,0,0
1323,32.79643753,0.188904707,8.09,0.21,0,0,0,0,2562.16,89.51,0
1324,32.79714584,0.183967142,0.32,0.36,0,0,0,0,0,0,0
1325,32.83251944,-0.215919103,0.51,0.07,0.1,0.27,0.36,0.17,0,0,1
1326,32.85985257,-0.410472741,0.28,0.32,0.15,0.6,0.15,0.39,12.25,0.46,0
1327,32.87155415,0.696856403,0.07,0.2,0.04,0.21,0.04,0.25,1.35,0.14,0
1328,32.88770103,-0.278227092,0.62,0.26,0.23,0.54,0.33,0.44,14.29,0.42,0
1329,32.92758727,0.605645977,1.95,0.21,2.43,0.11,0,0,210.76,7.81,0
1330,32.94489455,-0.376904022,0.12,0.3,0.08,0.42,0.29,0.31,0,0,0
1331,32.95934962,0.126671011,0.17,0.71,0.1,0.14,0.11,0.49,0,0,1
1332,32.96237049,-0.33954263,0.81,0.25,0.39,0.31,0.39,0.87,18.12,1.1,0
1333,32.99047789,0.039122175,4.67,0.44,0.91,0.13,6.72,0.15,286.6,13.26,0
1334,33.01988241,-0.358036796,0.15,0.26,0.03,0.66,0.04,0.36,10.74,0.65,1
1335,33.02330848,-0.365203278,1,0.19,0.34,0.37,3.63,0.2,66.01,3.02,0
1336,33.04832427,0.076767789,0.22,0.25,0.06,0.21,0.12,0.36,14.41,1.33,0
1337,33.06876725,-0.197558968,0.27,0.12,0.07,0.61,0.53,0.17,0,0,0
1338,33.1103629,-0.094027653,0.25,0.18,0.21,0.28,1.8,0.45,0,0,0
1339,33.13301905,-0.09274251,0.34,0.15,0.14,0.53,0,0,582.16,22.51,0
1340,33.14259378,-0.086817251,0.54,0.16,0.68,0.55,0,0,0,0,0
1341,33.20258294,-0.009753983,1.71,0.02,0.76,0.87,0,0,0,0,0
1342,33.20780924,-0.013422492,0.9,0.44,0.36,0.37,0,0,0,0,0
1343,33.26324457,0.065896239,0.75,1.08,0.54,0.7,2.97,0.35,0,0,0
1344,33.28946204,-0.01904508,1.49,0.45,0.47,0.87,2.26,0.47,0,0,0
1345,33.29842175,-0.338348731,0.08,0.65,0.05,0.76,0.04,0.56,5.06,0.17,0
1346,33.30247493,0.094272322,0.05,0.14,0.05,0.39,0.02,0.09,0,0,0
1347,33.31360806,-0.271657146,0.37,0.17,0.13,0.19,0.25,0.43,18.32,0.62,0
1348,33.3305919,0.163672044,0.2,0.18,0.03,0.34,0.1,0.24,29.83,0.77,0
1349,33.33686398,0.165470433,0.76,0.24,0.21,0.49,0.52,0.48,29.83,0.77,0
1350,33.39185279,-0.012650425,0.05,0.23,0.04,0.59,0.28,0.42,0,0,1
1351,33.40433828,0.373447629,0.08,0.21,0.02,0.51,0.03,0.15,4.03,0.37,0
1352,33.417426,0.036831807,1.12,0.28,0.26,0.17,0.78,0.32,0,0,0
1353,33.41770227,-0.003988034,1.81,0.13,1,0.48,7.61,0.3,0,0,0
1354,33.42551162,-0.012803771,0.42,0.37,0.08,0.63,1.45,0.34,77.72,2.79,0
1355,33.47019198,-0.086558903,0.71,0.1,0.18,0.41,0.49,0.37,21.92,0.6,0
1356,33.47897659,-0.116917155,0.11,0.28,0.04,0.3,0.05,0.05,0,0,0
1357,33.48254203,-0.209991282,0.21,0.21,0.05,0.41,0.27,0.33,11.6,0.28,0
1358,33.48872632,0.152181224,0.22,0.39,0.09,0.09,0.08,0.28,7.36,0.32,0
1359,33.49185752,0.158740845,0.17,0.05,0.02,0.05,0.19,0.12,6.65,0.24,1
1360,33.49647418,-0.013199475,0.54,0.16,0.09,0.19,2.03,0.4,0,0,0
1361,33.51814962,-0.056726208,0.15,0.12,0.02,0.49,0.47,0.36,27.68,1.54,0
1362,33.51890443,0.149935141,0.03,0.16,0.01,0.42,0.04,0.36,0,0,0
1363,33.53008704,-0.118568978,0.25,0.18,0.05,0.36,0.18,0.49,0,0,0
1364,33.53422353,-0.109334218,2.36,0.18,0.87,0.29,1.96,0.31,50.4,2.34,1
1365,33.55462905,-0.162906918,0.13,0.23,0.03,0.5,0.11,0.37,0,0,0
1366,33.5900361,0.22577603,0.05,0.41,0.02,0.54,0.04,0.46,0,0,0
1367,33.61149477,0.083306432,0.18,0.23,0.06,0.43,0.12,0.66,0,0,0
1368,33.62918117,-0.017654574,1.14,0.22,0.35,0.44,1.86,0.14,0,0,0
1369,33.6336327,-0.020999843,0.58,0.07,0.04,0.67,0.88,0.09,0,0,0
1370,33.63799244,-0.035673578,0.35,0.05,0.1,0.16,0.67,0.26,0,0,0
